TextType,MaxLength,Format,SheetInfo,CopyFromSelectedSheet,ChangeableByScriptOnly,CanModify,CanHide,CanModifyInivisible,DatabaseField,SystemDefined,ConnectionTargetFormat,UseActivePinTerminal,TEXTNAME_86,TEXTNAME_31,TEXTNAME_44,TEXTNAME_33,TEXTNAME_49,TEXTNAME_39,TEXTNAME_81,TEXTNAME_351,TEXTNAME_07,TEXTNAME_34,TEXTNAME_90,TEXTNAME_48
404,0,,0,0,0,0,0,0,,0,0,0,图形端子图(芯线名),graf. klemmen plan (adernaam),Graph. Terminal plan (Core name),Plan de borne graphique (Désignation bornes),Graf. Klemmenplan (Adername),Schema grafico morsettiere (Sigla conduttore),グラフ. ターミナルプラン(コア名),Plan. de Bornes Gráfica (Nome do condutor),Схема подключений (имя жилы),Hoja de bornes gráfica (Nombre de la vena),Grafik Terminal plan ( Damar adı),Graf. Zestawienie złączek listwowych (Nazwa żyły)
405,0,,0,0,0,0,0,0,,0,0,0,图形端子图(对于特征符号属性1),graf. klemmen plan (attribuut 1 voor doelcomponent),Graph. Terminal plan (Attribute 1 for destination),Plan de bornes graph. (attribut 1 au composant cible),Graf. Klemmenplan (Attribut 1 beim Zielbauteil),Schema grafico morsettiere (attributo 1 della destinazione),グラフ. ターミナルプラン(接続先属性1),Plan. de Bornes Gráfica (Atributo 1 para destino),Схема подключений (атрибут 1 для адреса2),Hoja Gráfica de Bornes (Atributo 1 para destino),Grafik Terminal plan ( Özellik 1 hedef için),Graf. Zestawienie złączek listwowych (Atrybut 1 dla celu)
406,0,,0,0,0,0,0,0,,0,0,0,图形端子图(对于特征符号属性2),graf. klemmen plan (attribuut 2 voor doelcomponent),Graph. Terminal plan (Attribute 2 for destination),Plan de bornes graph. (attribut 2 au composant cible),Graf. Klemmenplan (Attribut 2 beim Zielbauteil),Schema grafico morsettiere (attributo 2 della destinazione),グラフ. ターミナルプラン(接続先属性2),Plan. de Bornes Gráfica (Atributo 2 para destino),Схема подключений (атрибут 2 для адреса2),Hoja Gráfica de Bornes (Atributo 2 para destino),Grafik Terminal plan ( Özellik 2 hedef için),Graf. Zestawienie złączek listwowych (Atrybut 2 dla celu)
407,0,,0,0,0,0,0,0,,0,0,0,图形端子图(对于特征符号属性3),graf. klemmen plan (attribuut 3 voor doelcomponent),Graph. Terminal plan (Attribute 3 for destination),Plan de bornes graph. (attribut 3 au composant cible),Graf. Klemmenplan (Attribut 3 beim Zielbauteil),Schema grafico morsettiere (attributo 3 della destinazione),グラフ. ターミナルプラン(接続先属性3),Plan. de Bornes Gráfica (Atributo 3 para destino),Схема подключений (атрибут 3 для адреса2),Hoja Gráfica de Bornes (Atributo 3 para destino),Grafik Terminal plan ( Özellik 3 hedef için),Graf. Zestawienie złączek listwowych (Atrybut 3 dla celu)
408,0,,0,0,0,0,0,0,,0,0,0,图形端子图(对于特征符号属性4),graf. klemmen plan (attribuut 4 voor doelcomponent),Graph. Terminal plan (Attribute 4 for destination),Plan de bornes graph. (attribut 4 au composant cible),Graf. Klemmenplan (Attribut 4 beim Zielbauteil),Schema grafico morsettiere (attributo 4 della destinazione),グラフ. ターミナルプラン(接続先属性4),Plan. de Bornes Gráfica (Atributo 4 para destino),Схема подключений (атрибут 4 для адреса2),Hoja Gráfica de Bornes (Atributo 4 para destino),Grafik Terminal plan ( Özellik 5 hedef için),Graf. Zestawienie złączek listwowych (Atrybut 4 dla celu)
409,0,,0,0,0,0,0,0,,0,0,0,图形端子图(对于特征符号属性5),graf. klemmen plan (attribuut 5 voor doelcomponent),Graph. Terminal plan (Attribute 5 for destination),Plan de bornes graph. (attribut 5 au composant cible),Graf. Klemmenplan (Attribut 5 beim Zielbauteil),Schema grafico morsettiere (attributo 5 della destinazione),グラフ. ターミナルプラン(接続先属性5),Plan. de Bornes Gráfica (Atributo 5 para destino),Схема подключений (атрибут 5 для адреса2),Hoja Gráfica de Bornes (Atributo 5 para destino),Grafik Terminal plan ( Özellik 4 hedef için),Graf. Zestawienie złączek listwowych (Atrybut 5 dla celu)
410,0,,0,0,0,0,0,0,WireNumber,0,0,0,电线号码,draadnummer,Wire number,Numéro de fil,Drahtnummer,Numero filo,ワイヤ番号,Número de fio,Номер провода,Nº de hilo,Tel numarası ,Numer przewodu
411,0,,0,0,0,0,0,0,BOMpos,0,0,0,工作材料表位置,stuklijstpositie,BOM Position,BOM Position,Stücklisten Position,Posizione Distinta,部品表位置,Posição LdM,Позиция спецификации,Posición de LdM,BOM Pozisyon,Pozycja BOM
412,0,,0,0,0,0,0,0,WireNumber_Wire,0,0,0,Wire number (core),draadnummer (ader),Wire number (core),Numéro de fil (brin),Drahtnummer (Ader),Numero filo (conduttore),ワイヤ番号(コア),Número do fio,Номер провода (жилы),Número de hilo (vena),Tel numarası (Damar),Numer przewodu (żyła)
413,0,,0,0,0,0,0,0,WireNumber_Add,0,0,0,Additional Wire number,extra draad nummer,Additional Wire number,Numéro de fil additionnel,Zusätzliche Drahtnummer,Numero filo addizionale,追加ワイヤ番号,Número do fio adicional,Дополнительный номер провода,Número adicional de hilo,Ek Tel numarası,Dodatkowy numer przewodu
414,0,,0,0,0,0,0,0,.CONNECTOR_NAME,0,0,0,Internal Item Designation,interne item benaming,Internal Item Designation,Désignation interne d'élément,Internes Betriebsmittelkennzeichen,Designazione interna di Dispositivo,内部アイテム識別名,Designação do item interno,Внутреннее озиционное обозначение,Designación interna de objeto,iç öğe atama,Wewnętrzne oznaczenie elementu
415,0,,0,0,0,0,0,0,Symbolpintext-extended,0,0,0,符号针脚扩展文本,symbool pin text (vergrotert),Symbol pin text extended,Texte étendu de la broche de symbole,Erweiterter Symbol Anschlusstext,Testo pin simbolo esteso,拡張シンボルピンテキスト,Texto extendido de símbolo de pino,Дополнительная надпись символа вывода,Texto extendido de pin de símbolo,Genişletilmiş sembol pin metni,Rozszerzony tekst symbolu pinu
416,0,,0,0,0,0,0,0,Description_text,0,0,0,管脚描述,pin beschrijving,pin description,Description de broche,Anschluss Beschreibung,Descrizione pin,ピン表記,Descrição de pino,описание вывода,Descripción de pin,pin açıklaması,Opis pinu
417,0,,0,0,0,0,0,0,NetSegCrossSection,0,0,0,线段横截面,net segment doorsnede,Net segment cross-section,Coupe transversale du segment de réseau,Netzsegment Querschnitt,Sezione segmento,セグメントの断面積,Seção transversal do segmento de rede,Окружность сегмента цепи,Sección cruzada de segmento de red,Net kesiti,Przekrój segmentu sieci
