ColorCode,Color,Linetype,Type,DESCRIPTION_86,DESCRIPTION_31,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_49,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_34,DESCRIPTION_90,DESCRIPTION_48
70,0,0,0,棕色白,BruinWit,BrownWhite,BrunBlanc,BraunWeiss,MarroneBianco,茶白,Marrom e Branco,коричневый-белый,MarrónBlanco,KahverengiBeyaz,BrązowoBiały
71,0,0,0,深蓝白,DonkerblauwWit,Dark blueWhite,Bleu foncéBlanc,DunkelblauWeiss,Blu scuroBianco,紺白,Azul escuro e Branco,темно-синий-белый,Azul oscuroBlanco,Koyu MaviBeyaz,CzarnoniebieskoBiały
72,496,0,0,浅蓝,Licht blauw,Light blue,Bleu clair,Hellblau,Azzurro,Light blue,Azul Claro,Light blue,Azul claro,Açık mavi,Jasnoniebieski
73,0,0,0,色红棕,RoodBruin,RedBrown,RougeBrun,RotBraun,RossoMarrone,赤茶,Vermelho e Marrom,красный-Коричнево,RojoMarrón,KırmızıKahverengi,CzerwonoBrązowy
74,0,0,0,绿色灰,GroenGrijs,GreenGrey,VertGris,GrünGrau,VerdeGrigio,緑グレー,Verde e Cinza,Зелено-коричневый,VerdeGris,YeşilGri,ZielonoSzary
75,0,0,0,墨绿棕,GroenBruin,GreenBrown,VertBrun,GrünBraun,VerdeMarrone,緑茶,Verde e Marrom,Зелено-Коричнево,VerdeMarrón,YeşilKahverengi,ZielonoBrązowy
76,0,0,0,色红色,RoodGeel,RedYellow,RougeJaune,RotGelb,RossoGiallo,赤黄,Vermelho e Amarelo,красный-желтый,RojoAmarillo,KırmızıSarı,CzerwonoŻółty
77,0,0,0,红灰,RoodGrijs,RedGrey,RougeGris,RotGrau,RossoGrigio,赤グレー,Vermelho e Cinza,красный-Серый,RojoGris,KırmızıGri,CzerwonoSzary
78,0,0,0,红绿,RoodGroen,RedGreen,RougeVert,RotGrün,RossoVerde,赤緑,Vermelho e Verde,красный-зеленый,RojoVerde,KırmızıYeşil,CzerwonoZielony
79,0,0,0,棕色色,BruinGeel,BrownYellow,BrunJaune,BraunGelb,MarroneGiallo,茶黄,Marrom e Amarelo,коричневый-желтый,MarrónAmarillo,KahverengiSarı,BrązowoŻółty
80,0,0,0,蓝色色,BlauGeel,BlueYellow,BleuJaune,BlauGelb,BluGiallo,青黄,Azul e Amarelo,синий-желтый,AzulAmarillo,MaviSarı,NiebieskoŻółty
