CrossSection,Description,Flags,ID,Type
79.0,7.9  mm,2,316,2
80.0,8  mm,2,317,2
81.0,8.1  mm,2,318,2
82.0,8.2  mm,2,319,2
83.0,8.3  mm,2,320,2
89.0,8.9  mm,2,321,2
90.0,9  mm,2,322,2
91.0999984741211,9.11  mm,2,323,2
93.0,9.3  mm,2,324,2
94.0,9.4  mm,2,325,2
96.0,9.6  mm,2,326,2
97.69999694824219,9.77  mm,2,327,2
98.0,9.8  mm,2,328,2
99.0,9.9  mm,2,329,2
100.0,10  mm,2,330,2
102.0,10.2  mm,2,331,2
103.0,10.3  mm,2,332,2
107.0,10.7  mm,2,333,2
108.0,10.8  mm,2,334,2
111.0,11.1  mm,2,335,2
117.0,11.7  mm,2,336,2
119.0,11.9  mm,2,337,2
121.0,12.1  mm,2,338,2
130.0,13  mm,2,339,2
134.0,13.4  mm,2,340,2
136.0,13.6  mm,2,341,2
139.0,13.9  mm,2,342,2
145.0,14.5  mm,2,343,2
149.0,14.9  mm,2,344,2
150.0,15  mm,2,345,2
152.0,15.2  mm,2,346,2
160.0,16  mm,2,347,2
162.0,16.2  mm,2,348,2
168.0,16.8  mm,2,349,2
170.0,17  mm,2,350,2
195.0,19.5  mm,2,351,2
197.0,19.7  mm,2,352,2
200.0,20  mm,2,353,2
222.0,22.2  mm,2,354,2
245.0,24.5  mm,2,355,2
290.0,29  mm,2,356,2
337.0,33.7  mm,2,357,2
16.5,AWG 15 o.d.,3,358,2
20.799999237060547,AWG 14 o.d.,3,359,2
0.9599999785423279,0.096 mm,2,360,2
1.0399999618530273,0.104 mm,2,361,2
1.2400000095367432,0.124 mm,2,362,2
6.800000190734863,0.68  mm,2,363,2
5.099999904632568,0.51  mm,2,364,2
21.399999618530273,2.14 mm,2,365,2
11.699999809265137,1.17 mm,2,366,2
9.600000381469727,0.96  mm,2,367,2
13.5,1.35  mm,2,368,2
16.600000381469727,1.66  mm,2,369,2
27.100000381469727,2.71  mm,2,370,2
33.20000076293945,3.32  mm,2,371,2
54.20000076293945,5.42 mm,2,372,2
80.0999984741211,8.01  mm,2,373,2
1.899999976158142,0.19  mm,2,374,2
7.699999809265137,0.77  mm,2,375,2
26.0,"Ø 4/2,6mm",2,156,1
40.0,40.00,2,157,0
23.0,23.00,2,158,0
21.0,"Ø 3/2,1mm",2,159,1
