AttributeID,AttributeName,Color,DefaultValue,Direction,Format,Hidden,Level,MustExist,Owner,Owner2,PositionX,PositionY,Ratio,SingleInstance,Size,Typ,Visible,ASSIGNED_LIST,Usage_Description,UNIQUE_VALUE,DESCRIPTION_34,DESCRIPTION_86,DESCRIPTION_49,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_31,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_90,Flags2,DESCRIPTION_48
0,.CORE_MANUFACTURING_LENGTH,1,,1,VALUE,False,1,False,4,0,0.0,-40.0,1,True,25.0,3,0,,,,Longitud de fabricación de vena,Core manufacturing length（芯线制造长度）,Aderfertigungslänge,Core (conductor) manufacturing length,Longueur de production du brin,Lunghezza produzione conduttore,コア製造長さ,Core manufacturing length,Core manufacturing length,Производственная длина жилы,Damar Üretim Uzunluğu,0,Długość produkcyjna żyły
0,.COST,1,,1,VALUE,False,1,False,393222,324,0.0,-40.0,1,True,25.0,4,0,,,,Factor de coste,Cost factor（成本要素）,Kostenfaktor,Cost factor,Facteur coût,Fattore di costo,コストファクタ,Kostenfactor,Fator de custo,сто́имость,Maliyet etkeni,0,Czynnik kosztu
0,.DEVICE_MAPPING_CODE,1,,1,VALUE,False,1,False,2048,0,0.0,-40.0,1,True,25.0,4,0,,,,Asignación al dispositivo,设备映射,Zuordnung an Betriebsmittel,Device Mapping,Mappage d'appareils,Assegnazione al dispositivo,デバイスマッピング,bijvoegsel aan toestel,Mapeamento de dispositivos,Согласование изделий,Aygıt Eşleme,0,Mapowanie urządzenia
0,.DOCUMENT_TYPE,0,,1,DEFAULT,False,1,False,301989888,0,0.0,-40.0,1,True,25.0,4,1,,"report ContentMain.vbs,CoverSheet.vbs",,Tipo de documento,文档类型,Dokumententyp,Document Type,Type de document,Tipo documento,ドキュメントタイプ,documenttype,Tipo de Documento,Вид документа,Belge Türü,0,Typ dokumentu
0,.DRILL_HOLE_GRID,1,,1,VALUE,False,1,False,2080,0,0.0,-40.0,1,False,25.0,4,0,,,,Rejilla de taladro,钻孔网格,Bohrloch Raster,Drill Hole Grid,Grille de perçage,Griglia forature,ドリル穴グリッド,Boorgat raster,,Сетка отверстий сверловки,Delme noktası aralığı,0,Siatka otworów
87,.E3.ePLM_ActionField,0,,1,VALUE,False,1,False,-2147483648,0,0.0,0.0,1,False,25.0,4,1,,E3.ePLM Interface,,E3.ePLM Campo de acción,E3.ePLM Action Field,E3.ePLM Aktionsfeld,E3.ePLM Action Field,ChampAction E3.ePLM,E3.ePLM ActionField,E3.ePLMアクションフィールド,E3.ePLM actie veld,Campo de Ação E3.ePLM,E3.ePLM ActionField,E3.ePLM AksiyonAlanı,0,E3.ePLM Pole Akcji
86,.E3.ePLM_ID,0,,1,VALUE,False,1,False,-2113929216,0,0.0,0.0,1,True,25.0,4,1,,E3.ePLM Interface,,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,ID E3.ePLM,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,0,E3.ePLM ID
0,.ECHECK_ACTUAL_CURRENT,1,,1,#.## A,False,1,False,34048,131072,0.0,-40.0,1,True,25.0,2,1,,,,Corriente actual (resultado) [A],実電流 (結果) [A],Ist-Strom (Ergebnis),Actual current (result) [A],Courant réel (résultat) [A],Corrente attuale (risultato) [A],実電流 (結果) [A],ActualCurrent (resultaat) [A],Corrente atual (resultado) [A],Фактический ток (результат) [А],Aktif akım (sonuç) [A],0,Aktualny prąd (wynik) [A]
0,.ECHECK_ACTUAL_TEMPERATURE,1,,1,VALUE,False,1,False,16777220,0,0.0,-40.0,1,True,25.0,2,1,,,,Temperatura actual (resultado) [°C],実温度 (結果) [°C],Ist-Temperatur (Ergebnis) [°C],Actual temperature (result) [°C],Température réelle (résultat) [°C],Temperatura attuale (risultato) [°C],実温度 (結果) [°C],Werkelijke temperatuur (resultaat) [° C],Temperatura atual (resultado) [°C],Фактическая температура (результат) [°C],Aktif sıcaklık (sonuç) [°C],0,Aktualna temperatura (wynik) [°C]
0,.ECHECK_ACTUAL_VOLTAGE,1,,1,#.## V,False,1,False,34048,131072,0.0,-40.0,1,True,25.0,2,1,,,,Voltaje actual (resultado) [V],実電圧 (結果) [V],Ist-Spannung (Ergebnis) [V],Actual voltage (result) [V],Tension réelle (résultat) [V],Tensione attuale (risultato) [V],実電圧 (結果) [V],Actuele spanning (resultaat) [V],Tensão actual (resultado) [V],Фактическое напряжение (результат) [В],Aktif volt (sonuç) [V],0,Aktualne napięcie (wynik) [V]
0,.ECHECK_AMBIENT_TEMPERATURE,1,,1,VALUE,False,1,False,16777220,0,0.0,-40.0,1,True,25.0,2,1,,,,Temperatura ambiente [°C],周辺温度  [°C],Umgebungstemperatur [°C],Ambient temperature [°C],Température ambiante [°C],Temperatura ambiente [°C],周辺温度  [°C],Omgevingstemperatuur [° C],Temperatura ambiente [°C],Наружная температура [°C],Ortam sıcaklığı [°C],0,Temperatura otoczenia [°C]
0,.ECHECK_COLOUR,1,,1,VALUE,False,1,False,16777216,0,0.0,-40.0,1,True,25.0,1,1,,,,Color de hilo,导线颜色,Drahtfarbe,Wire colour,Couleur de fil,Colore filo,ワイヤカラー,draadkleur,Cor do fio,Цвет провода,Tel rengi,0,Kolor przewodu
0,.ECHECK_CROSSEC,1,,1,VALUE,False,1,False,16777216,0,0.0,-40.0,1,True,25.0,2,1,,,,Sección cruzada de hilo,线径,Drahtquerschnitt,Wire cross-section,Section transversale de fil,Sezione filo,ワイヤ断面積,Dwarsdoorsnede van de kabel,Seção transversal do fio,Сечение провода,Tel enine kesiti,0,Przekrój przewodu
0,.ECHECK_INTERNAL_PIN_RESISTANCE,1,,1,#.##### Ω,False,1,False,5440,262144,0.0,-40.0,1,True,25.0,2,1,,,,Resistencia de pin interno [Ohm],内部针脚电阻 [Ohm],Interner Widerstand am Anschlusspunkt [Ohm],Internal pin resistance [Ohm],Résistance interne de broche [Ohm],Resistenza interna pin [Ohm],内部ピン抵抗 [Ohm],Interne pin weerstand [Ohm],Resistência interna do pino [Ohm],Внутреннее сопротивление вывода [Ом],Pin iç direnci [Ohm],0,Wewnętrzna rezystancja pinu [Ohm]
0,.ECHECK_INTERNAL_RESISTANCE,1,,1,VALUE,False,1,False,0,2048,0.0,-40.0,1,True,25.0,2,1,,,,Resistencia interna [Ohm],内部电阻 [Ohm],Interner Widerstand [Ohm],Internal resistance [Ohm],Résistance interne [Ohm],Resistenza interna [Ohm],内部抵抗 [Ohm],interne weerstand [Ohm],Resistência interna [Ohm],Внутреннее сопротивление [Ом],iç direnç [Ohm],0,Wewnętrzna rezystancja [Ohm]
0,.ECHECK_IS_ACTIVE,1,,1,VALUE,False,1,False,1,0,0.0,-40.0,1,True,25.0,5,1,,,,Verificaciones eléctricas activas,eCheck已启动,Elektrische Prüfungen sind aktiviert,eCheck is active,eCheck est actif,Verifiche elettriche attive,電気検証 がアクティブです,eCheck is actief,Verificações eléctricas são ativadas,eCheck активизирован,Elektriksel Kontrol aktif,0,eCheck jest aktywny
0,.ECHECK_MAXIMUM_CURRENT,1,,1,VALUE,False,1,False,0,2048,0.0,-40.0,1,True,25.0,2,1,,,,Corriente máxima [A],最大電流 [A],Maximalstrom [A],Maximum current [A],Courant maximal  [A],Corrente massima [A],最大電流 [A],Maximale stroom [A],Corrente máxima [A],Максимальный ток [А],Maximum akım [A],0,Maksymalny prąd [A]
0,.ECHECK_MAXIMUM_TEMPERATURE,1,,1,VALUE,False,1,False,17039364,0,0.0,-40.0,1,True,25.0,2,1,,,,Temperatura máxima [°C],最高温度 [°C],Maximaltemperatur [°C],Maximum temperature [°C],Température maximale [°C],Temperatura massima [°C],最高温度 [°C],Maximum temperatuur [° C],Temperatura máxima [°C],Максимальная температура [°C],Maximum sıcaklık [°C],0,Maksymalna temperatura [°C]
0,.ECHECK_MAXIMUM_VOLTAGE,1,,1,VALUE,False,1,False,0,2048,0.0,-40.0,1,True,25.0,2,1,,,,Voltaje máximo [V],最大電圧 [V],Maximalspannung [V],Maximum voltage [V],Tension maximale [V],Tensione massima [V],最大電圧 [V],Maximale spanning [V],Tensão máxima [V],Максимальное напряжение [В],Maximum volt [V],0,Maksymalne napięcie [V]
