TextType,CanHide,CanModify,CanModifyInivisible,ChangeableByScriptOnly,CopyFromSelectedSheet,DatabaseField,Format,MaxLength,SheetInfo,SystemDefined,TEXTNAME_34,TEXTNAME_86,TEXTNAME_49,TEXTNAME_44,TEXTNAME_33,TEXTNAME_39,TEXTNAME_81,TEXTNAME_31,TEXTNAME_351,TEXTNAME_07,TEXTNAME_90,ConnectionTargetFormat,UseActivePinTerminal,TEXTNAME_48
224,False,False,False,False,False,,,50,True,False,Descripción de documento SAP,SAP Document Description,SAP Dokument Beschreibung,SAP Document Description,SAP Description de document,SAP Descrizione documento,SAPドキュメント説明,SAP document beschrijving,Descrição de Documento SAP,Описание документа в SAP,SAP Belge Açıklaması,0,False,SAP Typ Dokumentu
225,False,False,False,False,False,,,5,True,False,Estado de documento SAP,SAP Document Status,SAP Dokument Status,SAP Document Status,SAP État de document,SAP Stato documento,SAPドキュメントステータス,SAP document status,Andamento do Documento SAP,Статус документа в SAP,SAP Belge Durumu,0,False,SAP Opis Dokumentu
226,False,False,False,False,False,,,30,True,False,Texto de estado de documento SAP,SAP Document Statustext,SAP Dokument Statustext,SAP Document Statustext,SAP Texte d'état de document,SAP Descrizione stato documento,SAPドキュメントステータステキスト,SAP document statustekst,Andamento do texto de Documento SAP,Описание статуса документа в SAP,SAP Belge MetinDurumu,0,False,SAP Status Dokumentu
230,False,False,False,True,False,,,255,False,False,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISBaşlıkDeğiştirmeSayısı,0,False,rmCISHeaderChangeCount
231,False,False,False,True,False,,,255,False,False,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISBaşlıkCihaz,0,False,rmCISHeaderDevice
232,False,False,False,True,False,,,255,False,False,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISBaşlıkDeğiştirmeTipi,0,False,rmCISHeaderChangeType
233,False,False,False,True,False,,,255,False,False,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISDeğişimSayısı,0,False,rmCISChangeCount
234,False,False,False,True,False,,,255,False,False,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISCihaz,0,False,rmCISDevice
235,False,False,False,True,False,,,255,False,False,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISDeğişimTipi,0,False,rmCISChangeType
236,False,False,False,True,False,,,255,False,False,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISDiğerDeğişiklikler,0,False,rmCISMoreChanges
250,False,False,False,True,False,,,255,False,False,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSBaşlıkDeğişiklikNumarası,0,False,rmCLSHeaderChangeNumber
251,False,False,False,True,False,,,255,False,False,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSBaşlıkYol,0,False,rmCLSHeaderPath
252,False,False,False,True,False,,,255,False,False,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSBaşlıkDeğişiklikTipi,0,False,rmCLSHeaderChangeType
253,False,False,False,True,False,,,255,False,False,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSBaşlıkMiktar,0,False,rmCLSHeaderQuantity
254,False,False,False,True,False,,,255,False,False,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSBaşlıkMalzeme,0,False,rmCLSHeaderMaterial
255,False,False,False,True,False,,,255,False,False,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSBaşlıkEk,0,False,rmCLSHeaderAdditional
256,False,False,False,True,False,,,255,False,False,rmCLSHeaderOldValue,rmCLSHeaderOldValue,rmCLSHeaderOldValue,rmCLSHeaderOldValue,rmCLSHeaderOldValue,rmCLSHeaderOldValue,rmCLSHeaderOldValue,rmCLSHeaderOldValue,rmCLSHeaderOldValue,rmCLSHeaderOldValue,rmCLSBaşılEskiDeğer,0,False,rmCLSHeaderOldValue
257,False,False,False,True,False,,,255,False,False,rmCLSHeaderNewValue,rmCLSHeaderNewValue,rmCLSHeaderNewValue,rmCLSHeaderNewValue,rmCLSHeaderNewValue,rmCLSHeaderNewValue,rmCLSHeaderNewValue,rmCLSHeaderNewValue,rmCLSHeaderNewValue,rmCLSHeaderNewValue,rmCLSBaşlıkYeniDeğer,0,False,rmCLSHeaderNewValue
258,False,False,False,True,False,,,255,False,False,rmCLSHeaderLocation,rmCLSHeaderLocation,rmCLSHeaderLocation,rmCLSHeaderLocation,rmCLSHeaderLocation,rmCLSHeaderLocation,rmCLSHeaderLocation,rmCLSHeaderLocation,rmCLSHeaderLocation,rmCLSHeaderLocation,rmCLSBaşlıkKonum,0,False,rmCLSHeaderLocation
259,False,False,False,True,False,,,255,False,False,rmCLSHeaderDevice,rmCLSHeaderDevice,rmCLSHeaderDevice,rmCLSHeaderDevice,rmCLSHeaderDevice,rmCLSHeaderDevice,rmCLSHeaderDevice,rmCLSHeaderDevice,rmCLSHeaderDevice,rmCLSHeaderDevice,rmCLSBaşlıkCihaz,0,False,rmCLSHeaderDevice
260,False,False,False,True,False,,,255,False,False,rmCLSHeaderPin,rmCLSHeaderPin,rmCLSHeaderPin,rmCLSHeaderPin,rmCLSHeaderPin,rmCLSHeaderPin,rmCLSHeaderPin,rmCLSHeaderPin,rmCLSHeaderPin,rmCLSHeaderPin,rmCLSBaşlıkPin,0,False,rmCLSHeaderPin
261,False,False,False,True,False,,,255,False,False,rmCLSHeaderFrom,rmCLSHeaderFrom,rmCLSHeaderFrom,rmCLSHeaderFrom,rmCLSHeaderFrom,rmCLSHeaderFrom,rmCLSHeaderFrom,rmCLSHeaderFrom,rmCLSHeaderFrom,rmCLSHeaderFrom,rmCLSBaşlıkGönderen,0,False,rmCLSHeaderFrom
262,False,False,False,True,False,,,255,False,False,rmCLSHeaderTo,rmCLSHeaderTo,rmCLSHeaderTo,rmCLSHeaderTo,rmCLSHeaderTo,rmCLSHeaderTo,rmCLSHeaderTo,rmCLSHeaderTo,rmCLSHeaderTo,rmCLSHeaderTo,rmCLSBaşlıkİçin,0,False,rmCLSHeaderTo
263,False,False,False,True,False,,,255,False,False,rmCLSHeaderCoreNumber,rmCLSHeaderCoreNumber,rmCLSHeaderCoreNumber,rmCLSHeaderCoreNumber,rmCLSHeaderCoreNumber,rmCLSHeaderCoreNumber,rmCLSHeaderCoreNumber,rmCLSHeaderCoreNumber,rmCLSHeaderCoreNumber,rmCLSHeaderCoreNumber,rmCLSBaşlıkDamarNumarası,0,False,rmCLSHeaderCoreNumber
264,False,False,False,True,False,,,255,False,False,rmCLSHeaderSignal,rmCLSHeaderSignal,rmCLSHeaderSignal,rmCLSHeaderSignal,rmCLSHeaderSignal,rmCLSHeaderSignal,rmCLSHeaderSignal,rmCLSHeaderSignal,rmCLSHeaderSignal,rmCLSHeaderSignal,rmCLSBaşlıkSinyal,0,False,rmCLSHeaderSignal
280,False,False,False,True,False,,,255,False,False,rmCLSChangeNumber,rmCLSChangeNumber,rmCLSChangeNumber,rmCLSChangeNumber,rmCLSChangeNumber,rmCLSChangeNumber,rmCLSChangeNumber,rmCLSChangeNumber,rmCLSChangeNumber,rmCLSChangeNumber,rmCLSDeğişiklikNumarası,0,False,rmCLSChangeNumber
281,False,False,False,True,False,,,255,False,False,rmCLSPath,rmCLSPath,rmCLSPath,rmCLSPath,rmCLSPath,rmCLSPath,rmCLSPath,rmCLSPath,rmCLSPath,rmCLSPath,rmCLSYol,0,False,rmCLSPath
